Date,City,Year,Month,Temperature_at_2m,Relative_Humidity_at_2m,Surface_Pressure,Wind_Speed_at_2m,Monthly_Precipitation,Rolling_3Month_Precipitation,SPI_3,Year_Month
1994-05-01,Taif,1994,5,32.34129032258065,27.5458064516129,95.05096774193548,2.694516129032258,0.0,0.79,-1.2461923083152406,1994-05
1994-06-01,Taif,1994,6,34.525333333333336,17.094333333333335,94.68366666666665,3.5123333333333333,0.0,0.79,-1.0414672675070702,1994-06
1994-07-01,Taif,1994,7,33.0558064516129,24.700967741935486,94.81064516129032,3.258387096774194,1.49,1.49,-0.3754298281050736,1994-07
1994-08-01,Taif,1994,8,33.21806451612903,30.096129032258066,94.7490322580645,3.355161290322581,0.0,1.49,-0.053286722929334604,1994-08
1994-09-01,Taif,1994,9,32.10033333333333,30.60033333333333,95.06966666666668,3.005333333333333,0.0,1.49,-0.06373708776680037,1994-09
1994-10-01,Taif,1994,10,29.205483870967743,39.00290322580645,95.3216129032258,2.676774193548387,2.01,2.01,-0.2382873656011747,1994-10
1994-11-01,Taif,1994,11,25.720333333333333,52.751666666666665,95.42800000000001,2.5883333333333334,0.21,2.2199999999999998,-0.5135693980748957,1994-11
1994-12-01,Taif,1994,12,22.098387096774193,55.57548387096774,95.69032258064516,2.549032258064516,0.14,2.36,-0.7485927645397926,1994-12
1995-01-01,Taif,1995,1,22.563870967741938,52.57322580645161,95.64935483870968,2.371935483870968,2.86,3.21,-0.7843275943487978,1995-01
1995-02-01,Taif,1995,2,21.421071428571427,46.65785714285715,95.45321428571428,2.9396428571428572,0.18000000000000002,3.18,-0.434838323797165,1995-02
1995-03-01,Taif,1995,3,25.12516129032258,36.645161290322584,95.29387096774194,2.835806451612903,0.13,3.17,-0.3652363984152536,1995-03
1995-04-01,Taif,1995,4,28.139333333333333,39.372,95.08433333333332,3.2066666666666666,0.0,0.31000000000000005,-1.202400593858726,1995-04
1995-05-01,Taif,1995,5,32.11709677419355,28.56,95.02612903225807,2.7519354838709678,0.27,0.4,-1.4986537627077008,1995-05
1995-06-01,Taif,1995,6,34.918,22.32766666666667,94.76766666666667,2.7843333333333335,0.0,0.27,-1.4037021465042472,1995-06
1995-07-01,Taif,1995,7,33.37935483870968,26.219032258064516,94.6516129032258,3.202903225806452,0.0,0.27,-0.9096358234320021,1995-07
1995-08-01,Taif,1995,8,33.70645161290323,33.93774193548387,94.69419354838709,3.1803225806451616,0.0,0.0,-1.408135641148089,1995-08
1995-09-01,Taif,1995,9,33.171,30.128666666666668,94.97133333333333,2.77,0.0,0.0,-1.6906216295848977,1995-09
1995-10-01,Taif,1995,10,30.25258064516129,29.89741935483871,95.23225806451612,2.678064516129032,0.0,0.0,-1.8238032777788424,1995-10
1995-11-01,Taif,1995,11,25.909333333333333,47.169,95.45533333333333,2.5856666666666666,0.4,0.4,-1.0421915261101182,1995-11
1995-12-01,Taif,1995,12,22.679032258064513,55.57741935483871,95.56612903225808,2.423225806451613,0.39,0.79,-1.1522124769082238,1995-12
1996-01-01,Taif,1996,1,21.66032258064516,54.6683870967742,95.41645161290322,2.3925806451612903,0.32999999999999996,1.12,-1.1859990099819318,1996-01
1996-02-01,Taif,1996,2,23.358275862068965,48.591379310344834,95.28344827586206,2.728965517241379,0.0,0.72,-1.0570218926439134,1996-02
1996-03-01,Taif,1996,3,25.31709677419355,33.744516129032256,95.17999999999999,2.894516129032258,0.27,0.6,-1.09629836342673,1996-03
1996-04-01,Taif,1996,4,28.968,34.335,95.10433333333334,3.046666666666667,1.75,2.02,-0.6095675456184321,1996-04
1996-05-01,Taif,1996,5,32.6841935483871,30.309677419354838,95.04290322580646,2.599032258064516,0.54,2.56,-0.7325687468701125,1996-05
1996-06-01,Taif,1996,6,33.89033333333334,23.723333333333336,94.68566666666668,3.378333333333333,0.28,2.5700000000000003,-0.5579575767577782,1996-06
1996-07-01,Taif,1996,7,33.63645161290323,27.13258064516129,94.69354838709677,3.5077419354838706,0.0,0.8200000000000001,-0.5886915853161007,1996-07
1996-08-01,Taif,1996,8,34.19129032258065,28.736451612903227,94.67322580645161,3.3390322580645164,3.59,3.87,0.28235476065378734,1996-08
1996-09-01,Taif,1996,9,33.888,28.029333333333334,94.82333333333332,2.646333333333333,0.0,3.59,0.2585406661026158,1996-09
1996-10-01,Taif,1996,10,29.725806451612904,36.097096774193545,95.28999999999999,2.6048387096774195,0.0,3.59,-0.002413389969475158,1996-10
1996-11-01,Taif,1996,11,24.538,49.11566666666667,95.40766666666667,3.0416666666666665,32.669999999999995,32.669999999999995,1.0850579496225539,1996-11
1996-12-01,Taif,1996,12,23.379677419354838,51.57645161290322,95.57935483870968,2.282258064516129,1.06,33.73,0.9378540689490175,1996-12
1997-01-01,Taif,1997,1,20.934193548387096,47.98774193548387,95.52677419354839,2.533225806451613,1.96,35.69,0.952503828107099,1997-01
1997-02-01,Taif,1997,2,20.983214285714286,45.69392857142857,95.60642857142857,2.751428571428572,0.0,3.02,-0.46078562739631146,1997-02
1997-03-01,Taif,1997,3,23.580645161290324,38.21193548387097,95.31774193548387,3.2719354838709678,0.99,2.95,-0.40406895778581237,1997-03
1997-04-01,Taif,1997,4,27.898666666666667,28.992666666666665,95.21433333333333,3.009,1.34,2.33,-0.5489210894674239,1997-04
1997-05-01,Taif,1997,5,31.95741935483871,26.91483870967742,95.16741935483871,2.650645161290323,3.06,5.390000000000001,-0.333948282651964,1997-05
1997-06-01,Taif,1997,6,33.251666666666665,25.708666666666666,94.85133333333333,2.765,1.9700000000000002,6.37,-0.0907445872793411,1997-06
1997-07-01,Taif,1997,7,33.89354838709678,21.254193548387097,94.81451612903226,3.1970967741935485,0.35,5.38,0.21971008036024112,1997-07
1997-08-01,Taif,1997,8,33.318709677419356,27.600967741935484,94.94419354838709,3.2780645161290325,1.6600000000000001,3.9800000000000004,0.2938848266585444,1997-08
1997-09-01,Taif,1997,9,33.48166666666666,30.067,95.01933333333334,2.7503333333333333,1.05,3.0600000000000005,0.19379211968678825,1997-09
1997-10-01,Taif,1997,10,28.955806451612904,46.36064516129032,95.35354838709678,2.4229032258064516,16.52,19.23,0.9833473901517765,1997-10
1997-11-01,Taif,1997,11,26.207666666666668,49.003,95.38799999999999,2.5233333333333334,2.35,19.92,0.6746542093869958,1997-11
1997-12-01,Taif,1997,12,23.876129032258063,56.75096774193548,95.5458064516129,2.5022580645161288,3.78,22.65,0.5858677283065026,1997-12
