Date,City,Actual_SPI_3,Predicted_SPI_3,Residual,Absolute_Error,Actual_Drought,Predicted_Drought,Actual_Status,Predicted_Status,Actual_SPI_Category,Predicted_SPI_Category,Predicted_Drought_LSTM,Actual_Condition,LSTM_Condition
2025-01-01,Riyadh,-0.55038035,-0.47798625,-0.0723941,0.0723941,0,0,No Drought,No Drought,Near Normal,Near Normal,0,No drought,No drought
2018-12-01,Taif,1.3371857,1.5979567,-0.26077092,0.26077092,0,0,No Drought,No Drought,Moderately Wet,Very Wet,0,No drought,No drought
2019-01-01,Taif,1.3384157,1.2415766,0.09683919,0.09683919,0,0,No Drought,No Drought,Moderately Wet,Moderately Wet,0,No drought,No drought
2019-02-01,Taif,0.5233184,0.8509179,-0.32759947,0.32759947,0,0,No Drought,No Drought,Near Normal,Near Normal,0,No drought,No drought
2019-03-01,Taif,0.28113,-0.04409668,0.32522666,0.32522666,0,0,No Drought,No Drought,Near Normal,Near Normal,0,No drought,No drought
2019-04-01,Taif,-1.3724364,-0.64339733,-0.7290391,0.7290391,1,0,Drought,No Drought,Moderate Drought,Near Normal,0,Drought,No drought
2019-05-01,Taif,-0.017050674,-0.7723092,0.7552585,0.7552585,0,0,No Drought,No Drought,Near Normal,Near Normal,0,No drought,No drought
2019-06-01,Taif,0.11503275,0.35152924,-0.2364965,0.2364965,0,0,No Drought,No Drought,Near Normal,Near Normal,0,No drought,No drought
2019-07-01,Taif,0.5280177,0.09508929,0.4329284,0.4329284,0,0,No Drought,No Drought,Near Normal,Near Normal,0,No drought,No drought
2019-08-01,Taif,-0.06143976,-0.20852973,0.14708996,0.14708996,0,0,No Drought,No Drought,Near Normal,Near Normal,0,No drought,No drought
2019-09-01,Taif,-0.07030059,-0.1724468,0.102146216,0.102146216,0,0,No Drought,No Drought,Near Normal,Near Normal,0,No drought,No drought
2019-10-01,Taif,-0.19543198,-0.32080463,0.12537265,0.12537265,0,0,No Drought,No Drought,Near Normal,Near Normal,0,No drought,No drought
2019-11-01,Taif,-0.40111372,-0.43408212,0.032968402,0.032968402,0,0,No Drought,No Drought,Near Normal,Near Normal,0,No drought,No drought
2019-12-01,Taif,-0.6335971,-0.35810667,-0.2754904,0.2754904,0,0,No Drought,No Drought,Near Normal,Near Normal,0,No drought,No drought
2020-01-01,Taif,-0.9331968,-0.47009423,-0.46310255,0.46310255,0,0,No Drought,No Drought,Near Normal,Near Normal,0,No drought,No drought
2020-02-01,Taif,-0.37095857,-0.60966724,0.23870867,0.23870867,0,0,No Drought,No Drought,Near Normal,Near Normal,0,No drought,No drought
2020-03-01,Taif,0.007264757,-0.22163057,0.22889534,0.22889534,0,0,No Drought,No Drought,Near Normal,Near Normal,0,No drought,No drought
2020-04-01,Taif,0.1984762,-0.11240355,0.31087974,0.31087974,0,0,No Drought,No Drought,Near Normal,Near Normal,0,No drought,No drought
2020-05-01,Taif,0.75374925,0.06307973,0.69066954,0.69066954,0,0,No Drought,No Drought,Near Normal,Near Normal,0,No drought,No drought
2020-06-01,Taif,0.9191422,1.2723985,-0.3532563,0.3532563,0,0,No Drought,No Drought,Near Normal,Moderately Wet,0,No drought,No drought
2020-07-01,Taif,1.5918237,1.1641728,0.42765093,0.42765093,0,0,No Drought,No Drought,Very Wet,Moderately Wet,0,No drought,No drought
2020-08-01,Taif,1.0519894,1.1572261,-0.10523665,0.10523665,0,0,No Drought,No Drought,Moderately Wet,Moderately Wet,0,No drought,No drought
2020-09-01,Taif,1.5371286,0.72724706,0.8098815,0.8098815,0,0,No Drought,No Drought,Very Wet,Near Normal,0,No drought,No drought
